X,Y,objectid,arc_,streetcl_,streetcl_i,node_id,int_id,update_,intersecti,x_coord,y_coord
-8367409.59833636,4857577.63772153,10341,,,,26983,26983,2006/03/31 00:00:00+00,S BROAD ST & KENILWORTH ST,,
-8367399.61010844,4857632.75023076,10342,,,,26982,22348,1998/06/23 00:00:00+00,BAINBRIDGE ST & S BROAD ST,,
-8367333.36109159,4857564.85897423,10343,,,,22426,22426,1998/06/12 00:00:00+00,KENILWORTH ST & S WATTS ST,,
-8367353.51028601,4857479.01581825,10344,,,,22534,22534,1998/06/12 00:00:00+00,FITZWATER ST & S WATTS ST,,
-8367215.14754187,4857306.20585984,10345,,,,22694,22694,1998/06/12 00:00:00+00,S 13TH ST & CATHARINE ST,,
-8367040.38223365,4857278.21964185,10346,,,,22709,22709,1998/06/12 00:00:00+00,S 12TH ST & CATHARINE ST,,
-8367050.14858788,4857221.29983715,10347,,,,22770,22770,1998/06/12 00:00:00+00,S 12TH ST & WEBSTER ST,,
-8367059.68676652,4857165.59104321,10348,,,,22830,22830,1998/06/12 00:00:00+00,S 12TH ST & CHRISTIAN ST,,
-8367191.54559697,4857452.62074928,10349,,,,22555,22555,1998/06/12 00:00:00+00,S 13TH ST & FITZWATER ST,,
-8367286.2750434,4856880.60969381,10350,,,,23108,23108,1998/06/12 00:00:00+00,S 13TH ST & WASHINGTON AVE,,
-8367270.04304897,4856975.45027587,10351,,,,23007,23007,1998/06/12 00:00:00+00,S 13TH ST & KIMBALL ST,,
-8367256.84747755,4857053.968283,10352,,,,22932,22932,1998/06/12 00:00:00+00,S 13TH ST & CARPENTER ST,,
-8367316.37607525,4856702.08677841,10353,,,,23277,23277,1998/06/12 00:00:00+00,S 13TH ST & ELLSWORTH ST,,
-8367469.57675192,4856736.48128599,10354,,,,23252,23252,1998/06/12 00:00:00+00,ELLSWORTH ST & S JUNIPER ST,,
-8367243.06124331,4857136.76284181,10355,,,,22860,22860,1998/06/12 00:00:00+00,S 13TH ST & MONTROSE ST,,
-8367095.20046221,4856947.29584585,10356,,,,23031,23011,1998/06/12 00:00:00+00,S 12TH ST & KIMBALL ST,,
-8367264.34374293,4856749.2756612,10357,,,,23232,23232,1998/06/12 00:00:00+00,PETERS ST & DEAD END WEST,,
-8367133.75139121,4856719.65110638,10358,,,,23260,23260,1998/06/12 00:00:00+00,S 12TH ST & PETERS ST,,
-8367082.23049467,4857026.06849555,10359,,,,22952,22952,1998/06/12 00:00:00+00,S 12TH ST & CARPENTER ST,,
-8367092.6702097,4856965.05800901,10360,,,,23011,23011,1998/06/12 00:00:00+00,S 12TH ST & KIMBALL ST,,
-8367068.46024542,4857108.0249247,10361,,,,22879,22858,1998/06/12 00:00:00+00,S 12TH ST & MONTROSE ST,,
-8367066.43637122,4857122.86819376,10362,,,,22858,22858,1998/06/12 00:00:00+00,S 12TH ST & MONTROSE ST,,
-8367111.33084682,4856851.8505065,10363,,,,23127,23127,1998/06/12 00:00:00+00,S 12TH ST & WASHINGTON AVE,,
-8367125.26359503,4856772.56688546,10364,,,,23192,23192,1998/06/12 00:00:00+00,S 12TH ST & ALTER ST,,
-8367261.61548309,4856794.54078077,10365,,,,23175,23175,1998/06/12 00:00:00+00,ALTER ST & DEAD END WEST,,
-8367142.86735538,4856664.27157404,10366,,,,23306,23306,1998/06/12 00:00:00+00,S 12TH ST & ELLSWORTH ST,,
-8367155.7721243,4856589.03390582,10367,,,,23392,23392,1998/06/12 00:00:00+00,S 12TH ST & ANNIN ST,,
-8367458.47113217,4856642.98583814,10368,,,,23330,23330,1998/06/12 00:00:00+00,S JUNIPER ST & DEAD END NORTH,,
-8367383.24466164,4856641.58622237,10369,,,,23341,23341,1998/06/12 00:00:00+00,S CLARION ST & DEAD END NORTH,,
-8367285.10600018,4856619.08664918,10370,,,,23362,23362,1998/06/12 00:00:00+00,ANNIN ST & DEAD END WEST,,
-8366973.44732665,4856548.61628588,10371,,,,23419,23419,1998/06/12 00:00:00+00,S 11TH ST & ANNIN ST,,
-8366866.00572721,4857190.67940264,10372,,,,22795,22795,1998/06/12 00:00:00+00,S 11TH ST & WEBSTER ST,,
-8366898.87229491,4856992.18486805,10373,,,,22976,22976,1998/06/12 00:00:00+00,S 11TH ST & CARPENTER ST,,
-8366908.37413991,4856943.13616855,10374,,,,23025,23025,1998/06/12 00:00:00+00,S 11TH ST & KIMBALL ST,,
-8366745.28679001,4856887.5923505,10375,,,,23077,23077,1998/06/12 00:00:00+00,S 10TH ST & KIMBALL ST,,
